Cluster ID,confidence_score,identifier,name,url,author,description,datePublished,source_name,source_identifier,source_url
12,1.0,10.1016/j.ejor.2018.02.009,A new hybrid classification algorithm for customer churn prediction based on logistic regression and decision trees,https://openalex.org/W2792328488,Arno De Caigny; Kristof Coussement; Koen W. De Bock,"Decision trees and logistic regression are two very popular algorithms in customer churn prediction with strong predictive performance good comprehensibility. Despite these strengths, decision tend to have problems handle linear relations between variables has difficulties interaction effects variables. Therefore a new hybrid algorithm, the logit leaf model (LLM), is proposed better classify data. The idea behind LLM that different models constructed on segments of data rather than entire dataset lead while maintaining comprehensibility from leaves. consists stages: segmentation phase phase. In first stage identified using rules second created for every this tree. This approach benchmarked against trees, regression, random forests regards area under receiver operating characteristics curve (AUC) top decile lift (TDL) used measure which scores significantly its building blocks performs at least as well more advanced ensemble methods trees. Comprehensibility addressed by case study we observe some key benefits compared or regression.",01-09-18,OPENALEX,W2792328488,https://openalex.org/W2792328488
13,1.0,10.1109/ICSES52305.2021.9633795,A New hybrid classification algorithm for predicting customer churn,https://ieeexplore.ieee.org/document/9633795/,Baburao Markapudi; Kunchaparthi Jyothsna Latha; Kavitha Chaduvula,"Decision trees, support vector machine and gradient boosting are very popular algorithms for predicting the customer churn with good comprehensibility and strong predictive performance. In spite ofall strengths, the decision trees be likely have some problems forholding linear-relations amongthe variables, support vector machine performs marginally better than logistic regression, and gradient boosting givesgreater results when compared with logistic regression, with less development effort. Hencenew hybrid-algorithm, aboosting leaf model (BLM), was proposed forclassifying the data in better way. The basic idea behind this BLM is diverse models was constructed among the segments of data instead of entire dataset thusleads to improved predictive performances how ever observance comprehensibility among those models which constructed on leaves. ThisBLM resides two stages they are one is segmentation and the other one is prediction stages. Inthe first stageby using decision tree segments of customers are identified and second stagemodel wasappliedon each leaf of the tree. This new hybrid-approach was bench-marked compared with decision trees, support leaf model, andlogit leaf model (LLM)regards predictive performance and comprehensibility. The top decile lift (TDL), area under Receiver Operating Characteristics curve (AUC) which used to measure theirpredictive performancesof which BLM marksknowinglyimprovedtheirblocks support vectormachine, decision trees which performs howeverwith advanced ensemble methods logit leaf model.",16-12-21,IEEE,9633795,https://ieeexplore.ieee.org/document/9633795/
14,1.0,10.1109/wcnc.2010.5506564,A New LLMS Algorithm for Antenna Array Beamforming,https://openalex.org/W1991469708,Jalal Abdulsayed Srar; Kah-Seng Chung; Ali Mansour,"A new adaptive algorithm, called LLMS, which employs an array image factor, <sub xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">I</sub> , sandwiched in between two Least Mean Square (LMS) sections, is proposed for different applications of beamforming. The convergence LLMS algorithm analyzed, terms mean square error, the presence Additive White Gaussian Noise (AWGN) modes operation; namely with either external reference or self-referencing. Unlike earlier LMS based schemes, make use step size adaptation to enhance their performance, derives its overall error signal by feeding back from second stage combine that first section. This results being less sensitive variations input signal-to-noise ratio as well sizes used. Computer simulation show superior performance over conventional some more recent algorithms, such constrained-stability (CSLMS), and Modified Robust Variable Step Size (MRVSS) algorithms. Also, operation remains stable even when corrupted AWGN. It also shown performs Rayleigh fading.",01-04-10,OPENALEX,W1991469708,https://openalex.org/W1991469708
15,1.0,10.1109/59.65908,A new Markov model for base-loaded units for use in production costing,https://ieeexplore.ieee.org/document/65908/,S.H. Ansari; A.D. Patton,"A Markov model for base-loaded units, called the LLM (load linked Markov) model, for use in a probabilistic production costing algorithm is described. This LLM model recognizes the relationship between the need for operating a base-loaded unit and the system load cycle. A comparison of the results obtained by using a traditional production costing method, the OPCOST method with explicit consideration of unit duty cycle effects, and the new method using the LLM model for base-loaded units, called the PROCOP method, shows significant differences in the energies produced by the base-loaded units and consequently the other units. The linkage of a base-loaded unit's need for operation to the load cycle avoids the assumption of the traditional model that the base-loaded units are equally needed all times. It also avoids the ad hoc treatment of outage postponability of base-loaded units. Hence, the PROCOP method is more physically based and is likely to be more accurately responsive to change in the load cycle and other system parameters.<>",06-08-02,IEEE,65908,https://ieeexplore.ieee.org/document/65908/
16,1.0,10.1109/CAI54212.2023.00147,A New Method Using LLMs for Keypoints Generation in Qualitative Data Analysis,https://ieeexplore.ieee.org/document/10194998/,Fengxiang Zhao; Fan Yu; Timothy Trull; Yi Shang,"Qualitative data analysis (QDA) is useful for identifying patterns, themes, and relationships among data. In this paper, we propose a new method that uses large language models (LLMs), such as GPT-based Models, to improve QDA, in Ecological Momentary Assessment (EMA) studies as an example, by automating keypoints extraction and relevance evaluation. Experimental results on the IBM-ArgKP-2021 dataset show improved performance of the new method over existing work, achieving higher accuracy while reducing time and effort in the coding process of QDA, and demonstrate the effectiveness of our proposed method in various application settings.",02-08-23,IEEE,10194998,https://ieeexplore.ieee.org/document/10194998/
17,1.0,10.1109/SIU.2015.7129925,A new sparse convex combination of ZA-LLMS and RZA-LLMS algorithms.,https://dblp.org/rec/conf/siu/SalmanHTK15,Mohammad Shukri Salman; Alaa Ali Hameed; Cemil Turan; Bekir Karlik,,2015,DBLP,3416439,https://dblp.org/rec/conf/siu/SalmanHTK15
18,1.0,10.48366/R609546,A Review of Transformer Models,https://doi.org/10.48366/R609546,Jennifer D'Souza; Jennifer D'Souza; Jennifer D'Souza; Jennifer D'Souza; Jennifer D'Souza; Jennifer D'Souza; Jennifer D'Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza; Jennifer D’Souza,"The following is a review article https://orkg.org/review/R609355 surveying Large Language Models published on the Open Research Knowledge Graph (ORKG) platform. The ORKG leverages the next-generation semantic publishing tools and applied them on scholarly communication. In particular, it stores machine-actionable structured contributions in its knowledge graph. As such this review is a first of its kind representing salient characteristics of LLMs (their main contributions) in a structured and semantic way on the ORKG. The article might be particularly insightful in that it combines several structured LLM descriptions via comparisons filtered as sections based on various organizations involved such as the LLaMA series from Meta, the Pythia series from EleutherAI, DeepMind's Chinchilla and other models, OpenLLaMA from Berkeley AI Research, the Wizard series from Microsoft, etc. It concludes with a large-scale comparison of 87 different LLMs including the recent JAIS for the Arabic language.",01-01-23,RESODATE,aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDk1NDY=,https://resodate.org/resources/aHR0cHM6Ly9kb2kub3JnLzEwLjQ4MzY2L1I2MDk1NDY=
19,1.0,10.1145/2501626.2501632,A software-only scheme for managing heap data on limited local memory(LLM) multicore processors,https://openalex.org/W2009667616,Ke Bai; Aviral Shrivastava,"This article presents a scheme for managing heap data in the local memory present each core of limited (LLM) multicore architecture. Although semi-automatically with software cache is feasible, it may require modifications other thread codes. Crossthread are very difficult to code and debug, will become more complex challenging as we increase number cores. In this article, propose an intuitive programming interface, which automatic scalable management. Besides, embedded applications, where maximum size can be profiled, several optimizations on our management significantly decrease library overheads. Our experiments benchmarks from MiBench executing Sony Playstation 3 show that natural use, if know data, improve application performance by average 14%.",01-08-13,OPENALEX,W2009667616,https://openalex.org/W2009667616
20,1.0,10.1109/ISI58743.2023.10297139,A Two-Stage Prompt Learning Method for Jointly Predicting Topic and Personality,https://ieeexplore.ieee.org/document/10297139/,Yilin Wu; Minjie Yuan; Yuxuan Song; Liping Chen; Chenyu Yuan; Qiudan Li,"Accurate personality prediction can help management departments analyze users' behaviors and make informed decisions effectively. Existing text-based personality prediction studies mainly rely on deep neural networks or pre-trained language models to extract semantic information and personality traits. However, the text's topic and label description may provide additional personality clues. This paper proposes a topic and personality prediction method based on a large language model (LLM), which utilizes a two-stage prompt strategy to mine the interaction between the topic and personality information. Additionally, labels' descriptions are incorporated to construct cue-based prompts, and a fine-tuning approach is adopted to optimize the model's performance. Experiments on two datasets show the efficacy of the proposed model.",01-11-23,IEEE,10297139,https://ieeexplore.ieee.org/document/10297139/
21,1.0,10.1007/s00216-016-9652-3,A visual assay and spectrophotometric determination of LLM-105 explosive using detection of gold nanoparticle aggregation at two pH values,https://doi.org/10.1007/s00216-016-9652-3,Yang Cheng; Yi He,"We report a simple, rapid, and sensitive assay for visual and spectrophotometric detection of the 2,6-diamino-3,5-dinitropyrazine-1-oxide (LLM-105) explosive. The assay is based on different interactions between LLM-105 and gold nanoparticle (AuNP) dispersions at two pH values, leading to the formation of dispersed or aggregated AuNPs. Two AuNP dispersions at two pH values were applied to recognize and detect LLM-105 instead of traditional AuNP dispersion under an aptotic pH to improve the anti-interference ability. The developed assay showed excellent sensitivity with a detection limit of 3 ng/mL, and the presence of as low as 0.2 μg/mL LLM-105 can be directly detected with the bare eye. This sensitivity is about six orders of magnitude higher than that of the reported traditional assays. Additionally, the assay exhibited good selectivity toward LLM-105 over other explosives, sulfur-containing compounds, and amines. Graphical abstract A simple, sensitive, and selective assay for LLM-105 was developed based on the pH-dependent interaction between the LLM-105 explosive and gold nanoparticle dispersion.",26-05-16,Openaire Products,doi_dedup___::0f7d8ab8469519dfaf3e2f52e599f218,https://doi.org/10.1007/s00216-016-9652-3
1,0.800018,10.1109/IEMBS.2011.6090694,A Web services-based exergaming platform for senior citizens: The long lasting memories project approach to e-health care,https://ieeexplore.ieee.org/document/6090694/,Panagiotis D. Bamidis; Evdokimos I. Konstantinidis; Antonis Billis; Christos Frantzidis; Magda Tsolaki; Walter Hlauschek; Efthyvoulos Kyriacou; Marios Neofytou; Constantinos S. Pattichis,"This piece of research describes an innovative e-health service that supports the cognitive and physical training of senior citizens and promotes their active ageing. The approach is adopted by the Long Lasting Memories (LLM) project, elements of which are discussed herein in the light of the functionalities provided to the users and the therapists. The aim of this work is to describe those technical elements that demonstrate the unique and integrative character of the LLM service, which is based on a modular Web service architecture, rendering the system available in different settings like the homes of seniors. The underlying database as well as the remote user interface empower therapists to set personalized training schemes, to view the progress of training sessions, as well as, adding new games and exercises into the system, thereby increasing the services sustainability and marketability.",01-12-11,IEEE,6090694,https://ieeexplore.ieee.org/document/6090694/
1,0.800018,10.1109/IEMBS.2011.6090694,A Web services-based exergaming platform for senior citizens: The long lasting memories project approach to e-health care,https://zenodo.org/api/records/2555897,"Bamidis, P.D.; Konstantinidis, E.I.; Billis, A.; Fratzidis, Ch.; Tsolaki, M.; Hlauschek, W.; Kyriacou, E.C.; Neophytou, M.S.; Pattichis, C.S.","This piece of research describes an innovative e-health service that supports the cognitive and physical training of senior citizens and promotes their active ageing. The approach is adopted by the Long Lasting Memories (LLM) project, elements of which are discussed herein in the light of the functionalities provided to the users and the therapists. The aim of this work is to describe those technical elements that demonstrate the unique and integrative character of the LLM service, which is based on a modular Web service architecture, rendering the system available in different settings like the homes of seniors. The underlying database as well as the remote user interface empower therapists to set personalized training schemes, to view the progress of training sessions, as well as, adding new games and exercises into the system, thereby increasing the services sustainability and marketability.",01-12-11,Zenodo,2555897,https://zenodo.org/records/2555897
22,1.0,10.1109/ACCESS.2022.3198989,A Write-Buffer Scheme to Protect Cache Memories Against Multiple-Bit Errors,https://ieeexplore.ieee.org/document/9857910/,Jie Li; Liyi Xiao; Linzhe Li; Hongchen Li; He Liu; Chenxu Wang,"Protecting cache memories against radiation-induced soft errors is critical in designing highly reliable processors. Dirty lines in write-back data caches are more critical, since the dirty lines have no backups in lower-level memory (LLM). This paper provides a write-buffer scheme for backing up dirty lines to protect cache memories based on the replication mechanism combined with interleaving parity check against multiple-bit errors. The write-buffer contains two same replication caches to replicate the dirty data from the original cache, and the two replication caches take turns to write the replicated data back to LLM during the free time when there is no access in LLM. In this way, the dirty data in original cache is backed up to LLM that can be used for error recovery, and meanwhile, spaces of the replication caches are released to replicate new dirty data; moreover, the writebacks of the replicated data can be performed in the background without extra clocks. Simulation results show that the proposed write-buffer scheme can provide a full protection for caches without degrading system performance, while it can improve the system performance by an average of 1.4% due to the background writebacks, and compared with state-of-the-art replication-based technique, it can increase the replication capability by 11.6% and save 6.2% energy consumption in case of the optimal configuration. It is superior to the existing techniques in terms of protection capability and system performance overhead.",16-08-22,IEEE,9857910,https://ieeexplore.ieee.org/document/9857910/
23,1.0,10.1109/EMR.2023.3272799,Accelerating Innovation With Generative AI: AI-Augmented Digital Prototyping and Innovation Methods,https://ieeexplore.ieee.org/document/10115412/,Volker Bilgram; Felix Laarmann,"Easy-to-use generative artificial intelligence (AI) is democratizing the use of AI in innovation management and may significantly change the way how we work and innovate. In this article, we show how large language models (LLMs), such as generative pretrained transformer (GPT), can augment the early phases of innovation, in particular, exploration, ideation, and digital prototyping. Drawing on six months of experimenting with LLMs in internal and client innovation projects, we share first-hand experiences and concrete examples of AI-assisted approaches. The article highlights a large variety of use cases for generative AI ranging from user journey mapping to idea generation and prototyping and foreshadows the promising role LLMs may play in future knowledge management systems. Moreover, we argue that generative AI may become a game changer in early prototyping as the delegation of tasks to an artificial agent can result in faster iterations and reduced costs. Our experiences also provide insights into how human innovation teams purposively and effectively interact with AIs and integrate them into their workflows.",04-05-23,IEEE,10115412,https://ieeexplore.ieee.org/document/10115412/
24,1.0,10.1109/ICME55011.2023.00014,Action-GPT: Leveraging Large-scale Language Models for Improved and Generalized Action Generation,https://ieeexplore.ieee.org/document/10219779/,Sai Shashank Kalakonda; Shubh Maheshwari; Ravi Kiran Sarvadevabhatla,"We introduce Action-GPT, a plug-and-play framework for incorporating Large Language Models (LLMs) into text-based action generation models. Action phrases in current motion capture datasets contain minimal and to-the-point information. By carefully crafting prompts for LLMs, we generate richer and fine-grained descriptions of the action. We show that utilizing these detailed descriptions instead of the original action phrases leads to better alignment of text and motion spaces. We introduce a generic approach compatible with stochastic (e.g. VAE-based) and deterministic (e.g. MotionCLIP) text-to-motion models. In addition, the approach enables multiple text descriptions to be utilized. Our experiments show (i) noticeable qualitative and quantitative improvement in the quality of synthesized motions, (ii) benefits of utilizing multiple LLM-generated descriptions, (iii) suitability of the prompt function, and (iv) zero-shot generation capabilities of the proposed approach. Code and pretrained models are available at https://actiongpt.github.io.",25-08-23,IEEE,10219779,https://ieeexplore.ieee.org/document/10219779/
25,1.0,10.1109/tap.2010.2071361,Adaptive Array Beamforming Using a Combined LMS-LMS Algorithm,https://openalex.org/W1974478639,Jalal Abdulsayed Srar; Kah-Seng Chung; Ali Mansour,"A new adaptive algorithm, called least mean square- square (LLMS) which employs an array image factor, , sandwiched in between two (LMS) algorithm sections, is proposed for different applications of beamforming. It can operate with either prescribed or . The convergence LLMS analyzed operation modes; namely external reference self-referencing. range step size values stable has been established. Unlike earlier LMS based techniques, the derives its overall error signal by feeding back from second stage to combine that first section Computer simulation results show superior performance over algorithms, and quite insensitive variations input signal-to-noise ratio actual used. Furthermore, remains even when corrupted additive white Gaussian noise (AWGN). In addition, robust operating presence Rayleigh fading. Finally, fidelity at output beamformer demonstrated means resultant vector magnitude (EVM) scatter plots.",01-11-10,OPENALEX,W1974478639,https://openalex.org/W1974478639
26,1.0,10.1109/72.554203,Adaptive color segmentation-a comparison of neural and statistical methods,https://openalex.org/W2166277517,Enno Littmann; Helge Ritter,"With the availability of more powerful computers it is nowadays possible to perform pixel based operations on real camera images even in full color space. New adaptive classification tools like neural networks make develop special-purpose object detectors that can segment arbitrary objects with a complex distribution feature space after training one or several previously labeled image(s). The paper focuses detailed comparison approach local linear maps (LLMs) classifier normal distributions. proposed segmentation method uses information estimate membership probability object, respectively, background class. applied recognition and localization human hands laboratory scenes.",01-01-97,OPENALEX,W2166277517,https://openalex.org/W2166277517
27,1.0,10.1109/ICCIAutom.2011.6356710,Adaptive locally-linear-models-based fault detection and diagnosis for unmeasured states and unknown faults,https://ieeexplore.ieee.org/document/6356710/,Farzad Soltanian; Ahmad Akbari Alvanagh; Mohammad Javad Khosrowjerdi,"Today the problem of fault detection and diagnosis (FDD) is considered as an important and essential counterpart of control engineering systems. Because of importance and existence of faults that don't have a known structure in control system, i.e., fault occurred because of tangle of complex factors, In this paper a Lipschitz nonlinear system with unmeasured states and unknown faults is considered and a novel FDD architecture for it is presented. A neuro/fuzzy model consisting of few locally linear models (LLMs) with on-line updated centers and width vectors is used to approximate the model of the fault. A nonlinear observer is used to estimate the states of the system that are inputs to LLMs. The stability analysis of system is carried out via Lyapunov theory, from which the parameter updating rules are derived. At the end of this paper some numerical simulation is given to show the effectiveness of the method.",24-11-12,IEEE,6356710,https://ieeexplore.ieee.org/document/6356710/
28,1.0,10.1109/IranianCEE.2012.6292499,Adaptive locally-linear-models-based fault tolerant control for humanoid robot with unknown faults,https://ieeexplore.ieee.org/document/6292499/,Farzad Soltanian; Ahmad Akbari Alvanagh; Mohammad Javad Khosrowjerdi,"Today the problem of fault tolerant control (FTC) is considered as an important and essential counterpart of control engineering systems. Because of importance and existence of faults that don't have a known structure in control system, i.e., fault occurred because of tangle of complex factors, in this paper a Humanoid Robot with unknown faults is considered and a novel FTC architecture is presented. A neuro/fuzzy model consisting of a few locally linear models (LLMs) with on-line updated centers and width vectors is used to approximate the fault model. A linear estimator is employed to estimate the states of the system that are inputs to LLMs. The stability analysis of system is accomplished via Lyapunov theory, from which the parameter updating rules are derived. At the end of this paper some numerical simulations are given to show the effectiveness of the proposed method.",03-09-12,IEEE,6292499,https://ieeexplore.ieee.org/document/6292499/
29,1.0,10.5281/zenodo.7749108,Adjudication and Resolution of Islamic Finance Disputes in Non-Muslim States: An Analysis of Islamic Law With Reference to International Law,https://zenodo.org/api/records/7749108,Sohail Amjad; Nagina Riaz,An Analysis of the growth of multi trillion Islamic finance industry shows its huge importance and attraction for the stake holders but the lack of serious narrative and attitude towards resolution of disputes in Islamic financial contracts is degrading its rapid growth and failing to maintain trust of Muslims as well as non-Muslim stake holders. Immediate attention is needed from the scholars of Islamic as well as International law to provide a route map and code of resolution and litigation towards adjudication of Islamic finance disputes. This qualitative work analyzes the legal framework for Islamic finance law in Non-Muslim jurisdictions in the light of teachings of Muslim jurists and international law with reference to selected legal systems. This research finds that there is an immediate need of a structured code for the resolution of Islamic finance disputes and suggests that ADR and other legal remedies available in Islamic context as well as international conventions shall be implemented immediately to resolve prevailing issues and disputes.,17-03-23,Zenodo,7749108,https://zenodo.org/records/7749108
30,1.0,10.5281/zenodo.4904597,Admissibility of Evidence Produced Via Modern Devices and Techniques: A Look IN Pakistani Prospective,https://zenodo.org/api/records/4904597,Afrasiab Ahmed Rana,"Afrasiab Ahmed Rana is an LLM (Corporate Law) Scholar at International Islamic University, Islamabad. He graduated in Law from University of Sargodha. He is working as an Advocate High Court.",05-05-21,Zenodo,4904597,https://zenodo.org/records/4904597
31,1.0,10.1109/ICALT58122.2023.00072,AI-Assisted Learning with ChatGPT and Large Language Models: Implications for Higher Education,https://ieeexplore.ieee.org/document/10260931/,Samuli Laato; Benedikt Morschheuser; Juho Hamari; Jari Björne,"The recent progress in generative AI models, particularly large language models (LLMs), has brought about a transformation in the field of education. Conversational LLM services, such as Google's Bard and OpenAI's ChatGPT, offer students access to many abilities such as summarization and generation of text and code, and on-demand replies to questions on expert topics. In this paper, we observe ChatGPT to explore how LLM services impact learning and instruction in higher education. First, we mapped the capabilities of the system by reviewing the grey literature on ChatGPT and using the system ourselves for two months. Second, we selected a Bachelor level computer science curriculum from a Finnish university, and examined the impact of ChatGPT on the offered courses. As an outcome of this study, we highlight 13 implications for students' learning in higher education, and discuss the contemporary future of AI-assisted learning in universities and beyond.",29-09-23,IEEE,10260931,https://ieeexplore.ieee.org/document/10260931/
