identifier,name,url,author,description,datePublished,source_name,source_identifier,source_url
,Using LLM (Large Language Model) to Improve Efficiency in Literature Review for Undergraduate Research.,https://dblp.org/rec/conf/aied/AntuCR23,Shouvik Ahmed Antu; Haiyan Chen; Cindy K. Richards,,2023,DBLP,167527,https://dblp.org/rec/conf/aied/AntuCR23
,An LLM-Powered Adaptive Practicing System.,https://dblp.org/rec/conf/aied/KabirL23,Md Rayhan Kabir; Fuhua Lin,,2023,DBLP,167618,https://dblp.org/rec/conf/aied/KabirL23
,Leveraging LLMs for Adaptive Testing and Learning in Taiwan Adaptive Learning Platform (TALP).,https://dblp.org/rec/conf/aied/KuoCB23,Bor-Chen Kuo; Frederic T. Y. Chang; Zong-En Bai,,2023,DBLP,167629,https://dblp.org/rec/conf/aied/KuoCB23
,Prototyping the use of Large Language Models (LLMs) for Adult Learning Content Creation at Scale.,https://dblp.org/rec/conf/aied/LeikerFGC23,Daniel Leiker; Sara Finnigan; Ashley Ricker Gyllen; Mutlu Cukurova,,2023,DBLP,167632,https://dblp.org/rec/conf/aied/LeikerFGC23
,Generating Multiple Choice Questions from a Textbook: LLMs Match Human Performance on Most Metrics.,https://dblp.org/rec/conf/aied/Olney23,Andrew M. Olney,,2023,DBLP,167672,https://dblp.org/rec/conf/aied/Olney23
,Harnessing LLMs in Curricular Design: Using GPT-4 to Support Authoring of Learning Objectives.,https://dblp.org/rec/conf/aied/SridharDABSS23,Pragnya Sridhar; Aidan Doyle; Arav Agarwal; Christopher Bogart; Jaromír Savelka; Majd Sakr,,2023,DBLP,167720,https://dblp.org/rec/conf/aied/SridharDABSS23
10.1145/3600211.3604712,Supporting Human-AI Collaboration in Auditing LLMs with LLMs.,https://dblp.org/rec/conf/aies/RastogiRKNA23,Charvi Rastogi; Marco Túlio Ribeiro; Nicholas King; Harsha Nori; Saleema Amershi,,2023,DBLP,167830,https://dblp.org/rec/conf/aies/RastogiRKNA23
10.1145/3591196.3596612,More human than human: LLM-generated narratives outperform human-LLM interleaved narratives.,https://dblp.org/rec/conf/candc/ZhaoSDMCVBKSF23,Zoie Zhao; Sophie Song; Bridget Duah; Jamie C. Macbeth; Scott A. Carter; Monica P. Van; Nayeli Suseth Bravo; Matthew Klenk; Kate A. Sieck; Alexandre L. S. Filipowicz,,2023,DBLP,174522,https://dblp.org/rec/conf/candc/ZhaoSDMCVBKSF23
,"Proceedings of the Workshop on Empowering Education with LLMs - the Next-Gen Interface and Content Generation 2023 co-located with 24th International Conference on Artificial Intelligence in Education (AIED 2023), Tokyo, Japan, July 7, 2023.",https://dblp.org/rec/conf/aied/2023llm,Steven Moore; John C. Stamper; Richard Tong; Chen Cao; Zitao Liu 0001; Xiangen Hu; Yu Lu 0003; Joleen Liang; Hassan Khosravi; Paul Denny; Anjali Singh; Chris Brooks,,2023,DBLP,262255,https://dblp.org/rec/conf/aied/2023llm
10.48550/ARXIV.2303.12810,Are LLMs the Master of All Trades? : Exploring Domain-Agnostic Reasoning Skills of LLMs.,https://dblp.org/rec/journals/corr/abs-2303-12810,Shrivats Agrawal,,2023,DBLP,283229,https://dblp.org/rec/journals/corr/abs-2303-12810
10.48550/ARXIV.2304.08103,Low-code LLM: Visual Programming over LLMs.,https://dblp.org/rec/journals/corr/abs-2304-08103,Yuzhe Cai; Shaoguang Mao; Wenshan Wu; Zehua Wang; Yaobo Liang; Tao Ge; Chenfei Wu; Wang You; Ting Song; Yan Xia 0005; Jonathan Tien; Nan Duan,,2023,DBLP,289586,https://dblp.org/rec/journals/corr/abs-2304-08103
10.48550/ARXIV.2304.08968,Stochastic Parrots Looking for Stochastic Parrots: LLMs are Easy to Fine-Tune and Hard to Detect with other LLMs.,https://dblp.org/rec/journals/corr/abs-2304-08968,Da Silva Gameiro Henrique; Andrei Kucharavy; Rachid Guerraoui,,2023,DBLP,289964,https://dblp.org/rec/journals/corr/abs-2304-08968
10.48550/ARXIV.2304.09991,Supporting Human-AI Collaboration in Auditing LLMs with LLMs.,https://dblp.org/rec/journals/corr/abs-2304-09991,Charvi Rastogi; Marco Túlio Ribeiro; Nicholas King; Saleema Amershi,,2023,DBLP,290417,https://dblp.org/rec/journals/corr/abs-2304-09991
10.48550/ARXIV.2304.12102,Unlocking Context Constraints of LLMs: Enhancing Context Efficiency of LLMs with Self-Information-Based Content Filtering.,https://dblp.org/rec/journals/corr/abs-2304-12102,Yucheng Li 0001,,2023,DBLP,291463,https://dblp.org/rec/journals/corr/abs-2304-12102
10.48550/ARXIV.2305.06474,Do LLMs Understand User Preferences? Evaluating LLMs On User Rating Prediction.,https://dblp.org/rec/journals/corr/abs-2305-06474,Wang-Cheng Kang; Jianmo Ni; Nikhil Mehta; Maheswaran Sathiamoorthy; Lichan Hong; Ed H. Chi; Derek Zhiyuan Cheng,,2023,DBLP,295925,https://dblp.org/rec/journals/corr/abs-2305-06474
10.48550/ARXIV.2305.13144,Response Length Perception and Sequence Scheduling: An LLM-Empowered LLM Inference Pipeline.,https://dblp.org/rec/journals/corr/abs-2305-13144,Zangwei Zheng; Xiaozhe Ren; Fuzhao Xue; Yang Luo; Xin Jiang 0002; Yang You 0001,,2023,DBLP,299343,https://dblp.org/rec/journals/corr/abs-2305-13144
10.48550/ARXIV.2306.13063,Can LLMs Express Their Uncertainty? An Empirical Evaluation of Confidence Elicitation in LLMs.,https://dblp.org/rec/journals/corr/abs-2306-13063,Miao Xiong; Zhiyuan Hu; Xinyang Lu; Yifei Li; Jie Fu; Junxian He; Bryan Hooi,,2023,DBLP,309827,https://dblp.org/rec/journals/corr/abs-2306-13063
10.48550/ARXIV.2307.00593,LLM4CBI: Taming LLMs to Generate Effective Test Programs for Compiler Bug Isolation.,https://dblp.org/rec/journals/corr/abs-2307-00593,Haoxin Tu; Zhide Zhou; He Jiang 0001; Imam Nur Bani Yusuf; Yuxian Li; Lingxiao Jiang,,2023,DBLP,312211,https://dblp.org/rec/journals/corr/abs-2307-00593
10.48550/ARXIV.2307.10168,LLMs as Workers in Human-Computational Algorithms? Replicating Crowdsourcing Pipelines with LLMs.,https://dblp.org/rec/journals/corr/abs-2307-10168,Tongshuang Wu; Haiyi Zhu; Maya Albayrak; Alexis Axon; Amanda Bertsch; Wenxing Deng; Ziqi Ding; Bill Guo; Sireesh Gururaja; Tzu-Sheng Kuo; Jenny T. Liang; Ryan Liu; Ihita Mandal; Jeremiah Milbauer; Xiaolin Ni; Namrata Padmanabhan; Subhashini Ramkumar; Alexis Sudjianto; Jordan Taylor; Ying-Jui Tseng; Patricia Vaidos; Zhijin Wu; Wei Wu; Chenyang Yang 0002,,2023,DBLP,316524,https://dblp.org/rec/journals/corr/abs-2307-10168
10.48550/ARXIV.2308.01862,Wider and Deeper LLM Networks are Fairer LLM Evaluators.,https://dblp.org/rec/journals/corr/abs-2308-01862,Xinghua Zhang 0001; Bowen Yu 0002; Haiyang Yu; Yangyu Lv; Tingwen Liu; Fei Huang 0004; Hongbo Xu; Yongbin Li,,2023,DBLP,320288,https://dblp.org/rec/journals/corr/abs-2308-01862
10.48550/ARXIV.2308.04945,LLMeBench: A Flexible Framework for Accelerating LLMs Benchmarking.,https://dblp.org/rec/journals/corr/abs-2308-04945,Fahim Dalvi; Maram Hasanain; Sabri Boughorbel; Basel Mousi; Samir Abdaljalil; Nizi Nazar; Ahmed Abdelali; Shammur Absar Chowdhury; Hamdy Mubarak; Ahmed Ali 0002; Majd Hawasly; Nadir Durrani; Firoj Alam,,2023,DBLP,321839,https://dblp.org/rec/journals/corr/abs-2308-04945
10.48550/ARXIV.2308.07308,"LLM Self Defense: By Self Examination, LLMs Know They Are Being Tricked.",https://dblp.org/rec/journals/corr/abs-2308-07308,Alec Helbling; Mansi Phute; Matthew Hull; Duen Horng Chau,,2023,DBLP,322916,https://dblp.org/rec/journals/corr/abs-2308-07308
10.48550/ARXIV.2308.08469,LLM4TS: Two-Stage Fine-Tuning for Time-Series Forecasting with Pre-Trained LLMs.,https://dblp.org/rec/journals/corr/abs-2308-08469,Ching Chang; Wen-Chih Peng; Tien-Fu Chen,,2023,DBLP,323470,https://dblp.org/rec/journals/corr/abs-2308-08469
10.48550/ARXIV.2308.08728,LLM-FuncMapper: Function Identification for Interpreting Complex Clauses in Building Codes via LLM.,https://dblp.org/rec/journals/corr/abs-2308-08728,Zhe Zheng; Ke-Yin Chen; Xin-Yu Cao; Xin-Zheng Lu; Jia-Rui Lin,,2023,DBLP,323578,https://dblp.org/rec/journals/corr/abs-2308-08728
10.48550/ARXIV.2308.10168,Head-to-Tail: How Knowledgeable are Large Language Models (LLM)? A.K.A. Will LLMs Replace Knowledge Graphs?,https://dblp.org/rec/journals/corr/abs-2308-10168,Kai Sun; Yifan Ethan Xu; Hanwen Zha; Yue Liu; Xin Luna Dong,,2023,DBLP,324328,https://dblp.org/rec/journals/corr/abs-2308-10168
10.48550/ARXIV.2309.05918,"Stochastic LLMs do not Understand Language: Towards Symbolic, Explainable and Ontologically Based LLMs.",https://dblp.org/rec/journals/corr/abs-2309-05918,Walid S. Saba,,2023,DBLP,330164,https://dblp.org/rec/journals/corr/abs-2309-05918
10.48550/ARXIV.2309.17234,LLM-Deliberation: Evaluating LLMs with Interactive Multi-Agent Negotiation Games.,https://dblp.org/rec/journals/corr/abs-2309-17234,Sahar Abdelnabi; Amr Gomaa; Sarath Sivaprasad; Lea Schönherr; Mario Fritz,,2023,DBLP,335688,https://dblp.org/rec/journals/corr/abs-2309-17234
10.48550/ARXIV.2310.01796,LLMParser: A LLM-based Log Parsing Framework.,https://dblp.org/rec/journals/corr/abs-2310-01796,Zhihan Jiang; Jinyang Liu; Zhuangbin Chen; Yichen Li; Junjie Huang; Yintong Huo; Pinjia He; Jiazhen Gu; Michael R. Lyu,,2023,DBLP,336770,https://dblp.org/rec/journals/corr/abs-2310-01796
10.48550/ARXIV.2310.02170,Dynamic LLM-Agent Network: An LLM-agent Collaboration Framework with Agent Team Optimization.,https://dblp.org/rec/journals/corr/abs-2310-02170,Zijun Liu; Yanzhe Zhang; Peng Li; Yang Liu; Diyi Yang,,2023,DBLP,336975,https://dblp.org/rec/journals/corr/abs-2310-02170
10.48550/ARXIV.2310.04963,LLM4VV: Developing LLM-Driven Testsuite for Compiler Validation.,https://dblp.org/rec/journals/corr/abs-2310-04963,Christian Munley; Aaron Jarmusch; Sunita Chandrasekaran,,2023,DBLP,338392,https://dblp.org/rec/journals/corr/abs-2310-04963
10.48550/ARXIV.2310.18457,LLMSTEP: LLM proofstep suggestions in Lean.,https://dblp.org/rec/journals/corr/abs-2310-18457,Sean Welleck; Rahul Saha,,2023,DBLP,345167,https://dblp.org/rec/journals/corr/abs-2310-18457
10.48550/ARXIV.2310.19902,"Herd: Using multiple, smaller LLMs to match the performances of proprietary, large LLMs via an intelligent composer.",https://dblp.org/rec/journals/corr/abs-2310-19902,Surya Narayanan Hari; Matt Thomson,,2023,DBLP,345886,https://dblp.org/rec/journals/corr/abs-2310-19902
10.48550/ARXIV.2310.20501,LLMs may Dominate Information Access: Neural Retrievers are Biased Towards LLM-Generated Texts.,https://dblp.org/rec/journals/corr/abs-2310-20501,Sunhao Dai; Yuqi Zhou; Liang Pang; Weihao Liu; Xiaolin Hu; Yong Liu; Xiao Zhang; Jun Xu,,2023,DBLP,346175,https://dblp.org/rec/journals/corr/abs-2310-20501
10.1109/SIU.2015.7129925,A new sparse convex combination of ZA-LLMS and RZA-LLMS algorithms.,https://dblp.org/rec/conf/siu/SalmanHTK15,Mohammad Shukri Salman; Alaa Ali Hameed; Cemil Turan; Bekir Karlik,,2015,DBLP,3416439,https://dblp.org/rec/conf/siu/SalmanHTK15
10.22364/BJMC.2023.11.3.04,Apple and Pear Scab Expert System.,https://dblp.org/rec/journals/bjmc/ApeinansZLL23,llmars Apeinans; Imants Zarembo; Gunars Lacis; Lienite Litavniece,,2023,DBLP,21845,https://dblp.org/rec/journals/bjmc/ApeinansZLL23
10.1016/J.BSPC.2022.104508,ViT-LLMR: Vision Transformer-based lower limb motion recognition from fusion signals of MMG and IMU.,https://dblp.org/rec/journals/bspc/ZhangYCX23,Hanyang Zhang; Ke Yang; Gangsheng Cao; Chunming Xia,,2023,DBLP,23477,https://dblp.org/rec/journals/bspc/ZhangYCX23
10.1109/MC.2023.3278160,Lower Energy Large Language Models (LLMs).,https://dblp.org/rec/journals/computer/LinV23,Hsiao-Ying Lin; Jeffrey M. Voas,,2023,DBLP,34348,https://dblp.org/rec/journals/computer/LinV23
10.1140/EPJDS/S13688-023-00423-4,Exposing influence campaigns in the age of LLMs: a behavioral-based AI approach to detecting state-sponsored trolls.,https://dblp.org/rec/journals/epjds/EzzeddineAGNSFL23,Fatima Ezzeddine; Omran Ayoub; Silvia Giordano; Gianluca Nogara; Ihab Sbeity; Emilio Ferrara; Luca Luceri,,2023,DBLP,47394,https://dblp.org/rec/journals/epjds/EzzeddineAGNSFL23
10.14778/3611540.3611634,"Will LLMs reshape, supercharge, or kill data science?",https://dblp.org/rec/journals/pvldb/HalevyCFFNW23,Alon Y. Halevy; Yejin Choi; Avrilia Floratou; Michael J. Franklin; Natasha F. Noy; Haixun Wang,,2023,DBLP,105111,https://dblp.org/rec/journals/pvldb/HalevyCFFNW23
10.3390/S23135899,LLM Adaptive PID Control for B5G Truck Platooning Systems.,https://dblp.org/rec/journals/sensors/ZarzaCRC23,Irene de Zarzà; Joachim de Curtò; Gemma Roig; Carlos T. Calafate,,2023,DBLP,119213,https://dblp.org/rec/journals/sensors/ZarzaCRC23
10.1609/AAAI.V37I4.25642,Repair Is Nearly Generation: Multilingual Program Repair with LLMs.,https://dblp.org/rec/conf/aaai/JoshiSG0VR23,Harshit Joshi; José Pablo Cambronero Sánchez; Sumit Gulwani; Vu Le 0002; Gust Verbruggen; Ivan Radicek,,2023,DBLP,162678,https://dblp.org/rec/conf/aaai/JoshiSG0VR23
10.18653/V1/2023.CLINICALNLP-1.49,UMASS_BioNLP at MEDIQA-Chat 2023: Can LLMs generate high-quality synthetic note-oriented doctor-patient conversations?,https://dblp.org/rec/conf/acl-clinicalnlp/WangYMO0023,Junda Wang; Zonghai Yao; Avijit Mitra; Samuel Osebe; Zhichao Yang 0001; Hong Yu 0001,,2023,DBLP,164330,https://dblp.org/rec/conf/acl-clinicalnlp/WangYMO0023
10.18653/V1/2023.ACL-LONG.792,LLM-Blender: Ensembling Large Language Models with Pairwise Ranking and Generative Fusion.,https://dblp.org/rec/conf/acl/Jiang0L23,Dongfu Jiang; Xiang Ren 0001; Bill Yuchen Lin,,2023,DBLP,165069,https://dblp.org/rec/conf/acl/Jiang0L23
10.18653/V1/2023.FINDINGS-ACL.277,Prompted LLMs as Chatbot Modules for Long Open-domain Conversation.,https://dblp.org/rec/conf/acl/LeeHPP023,Gibbeum Lee; Volker Hartmann; Jongho Park; Dimitris Papailiopoulos; Kangwook Lee 0001,,2023,DBLP,165220,https://dblp.org/rec/conf/acl/LeeHPP023
10.18653/V1/2023.ACL-DEMO.29,The ROOTS Search Tool: Data Transparency for LLMs.,https://dblp.org/rec/conf/acl/PiktusAVLDLJR23,Aleksandra Piktus; Christopher Akiki; Paulo Villegas; Hugo Laurençon; Gérard Dupont; Sasha Luccioni; Yacine Jernite; Anna Rogers,,2023,DBLP,165640,https://dblp.org/rec/conf/acl/PiktusAVLDLJR23
10.18653/V1/2023.ACL-LONG.346,Multilingual LLMs are Better Cross-lingual In-context Learners with Alignment.,https://dblp.org/rec/conf/acl/TanwarDB023,Eshaan Tanwar; Subhabrata Dutta; Manish Borthakur; Tanmoy Chakraborty 0002,,2023,DBLP,165902,https://dblp.org/rec/conf/acl/TanwarDB023
10.18653/V1/2023.FINDINGS-ACL.820,Selecting Better Samples from Pre-trained LLMs: A Case Study on Question Generation.,https://dblp.org/rec/conf/acl/YuanWWFASO23,Xingdi Yuan; Tong Wang; Yen-Hsiang Wang; Emery Fine; Rania Abdelghani; Hélène Sauzéon; Pierre-Yves Oudeyer,,2023,DBLP,166260,https://dblp.org/rec/conf/acl/YuanWWFASO23
10.18653/V1/2023.ACL-TUTORIALS.3,"Everything you need to know about Multilingual LLMs: Towards fair, performant and reliable models for languages of the world.",https://dblp.org/rec/conf/acm/SitaramCPCAB23,Sunayana Sitaram; Monojit Choudhury; Barun Patra; Vishrav Chaudhary; Kabir Ahuja; Kalika Bali,,2023,DBLP,166487,https://dblp.org/rec/conf/acm/SitaramCPCAB23
,A Case Study using Large Language Models to Generate Metadata for Math Questions.,https://dblp.org/rec/conf/aied/BainbridgeWIZMW23,Katie Bainbridge; Candace A. Walkington; Armon Ibrahim; Iris Zhong; Debshila Basu Mallick; Julianna Washington; Richard G. Baraniuk,,2023,DBLP,167534,https://dblp.org/rec/conf/aied/BainbridgeWIZMW23
,The Unseen A+ Student: Evaluating the Performance and Detectability of Large Language Models in High School Assignments.,https://dblp.org/rec/conf/aied/Bohacek23,Matyás Bohácek,,2023,DBLP,167545,https://dblp.org/rec/conf/aied/Bohacek23
,On the Application of Large Language Models for Language Teaching and Assessment Technology.,https://dblp.org/rec/conf/aied/CainesBTDGA0EM023,Andrew Caines; Luca Benedetto; Shiva Taslimipoor; Christopher Davis; Yuan Gao; Øistein E. Andersen; Zheng Yuan 0003; Mark Elliott; Russell Moore; Christopher Bryant 0001; Marek Rei; Helen Yannakoudakis; Andrew Mullooly; Diane Nicholls; Paula Buttery,,2023,DBLP,167549,https://dblp.org/rec/conf/aied/CainesBTDGA0EM023
,Exploring Pre-Service Teachers&apos; Perceptions of Large Language Models-Generated Hints in Online Mathematics Learning.,https://dblp.org/rec/conf/aied/Gattupalli0ACAW23,Sai Satish Gattupalli; Will Lee 0002; Danielle Allessio; Danielle Crabtree; Ivon Arroyo; Beverly P. Woolf,,2023,DBLP,167584,https://dblp.org/rec/conf/aied/Gattupalli0ACAW23
,Language Modeling for Plan Generation in Game-Base Learning Environments.,https://dblp.org/rec/conf/aied/GoslenKRL23,Alex Goslen; Yeo Jin Kim; Jonathan P. Rowe; James C. Lester,,2023,DBLP,167592,https://dblp.org/rec/conf/aied/GoslenKRL23
,Detecting ChatGPT-Generated Code in a CS1 Course.,https://dblp.org/rec/conf/aied/HoqSLBLA23,Muntasir Hoq; Yang Shi; Juho Leinonen 0001; Damilola Babalola; Collin F. Lynch; Bita Akram,,2023,DBLP,167608,https://dblp.org/rec/conf/aied/HoqSLBLA23
,Is AI the better programming partner? Human-Human Pair Programming vs. Human-AI pAIr Programming.,https://dblp.org/rec/conf/aied/MaWK23,Qianou Christina Ma; Sherry Tongshuang Wu; Ken Koedinger,,2023,DBLP,167646,https://dblp.org/rec/conf/aied/MaWK23
10.1007/978-3-031-36336-8_4,Empowering Education with LLMs - The Next-Gen Interface and Content Generation.,https://dblp.org/rec/conf/aied/MooreTSLHLLCKDB23,Steven Moore; Richard Tong; Anjali Singh; Zitao Liu; Xiangen Hu; Yu Lu; Joleen Liang; Chen Cao; Hassan Khosravi; Paul Denny; Chris Brooks; John C. Stamper,,2023,DBLP,167652,https://dblp.org/rec/conf/aied/MooreTSLHLLCKDB23
,Rewriting Math Word Problems with Large Language Models.,https://dblp.org/rec/conf/aied/NorbergAFLWM023,Kole Norberg; Husni Almoubayyed; Stephen E. Fancsali; Logan De Ley; Kyle Weldon; April Murphy; Steven Ritter 0001,,2023,DBLP,167667,https://dblp.org/rec/conf/aied/NorbergAFLWM023
